"Gene","Model1","ModelCode"
"37317_astD","T92+G+I","T92_G"
"37319_astE","T92+G+I","T92_G"
"37342_pepB","TN93+G+I","TN93_G"
"37396_tmcA","T92+G+I","T92_G"
"37413_cysA","T92+G","T92_G"
"37426_ptsI","TN93+G+I","TN93_G"
"37443_glk","TN93+G+I","TN93_G"
"37483_spoT","TN93+G+I","TN93_G"
"37487_pstC","TN93+G+I","TN93_G"
"37562_panE_1","T92+G+I","T92_G"
"37781_hypothetical_protein","TN93+G+I","TN93_G"
"37820_gltP","TN93+G+I","TN93_G"
"37829_tsx","TN93+G","TN93_G"
"37840_frmA","TN93+G","TN93_G"
"37870_mscM","TN93+G+I","TN93_G"
"37923_hypothetical_protein","T92+G+I","T92_G"
"37949_rnhB","T92+G","T92_G"
"37984_gltC_2","T92+G","T92_G"
"37996_hsrA_1","T92+G+I","T92_G"
"38059_ygiC","TN93+G+I","TN93_G"
"38077_exbD","T92+G+I","T92_G"
"38089_yjjV","T92+G+I","T92_G"
"38124_trmB","T92+G+I","T92_G"
"38143_epd","TN93+G+I","TN93_G"
"38153_zapA","K2+G","K2_G"
"38207_galR","T92+G+I","T92_G"
"38214_aas","TN93+G+I","TN93_G"
"38219_mutH","T92+G","T92_G"
"38221_ptsP","TN93+G+I","TN93_G"
"38233_tcdA","T92+G+I","T92_G"
"38247_rlmD","T92+G+I","T92_G"
"38249_mazG","T92+G+I","T92_G"
"38251_pyrG","TN93+G+I","TN93_G"
"38252_eno","K2+G","K2_G"
"38260_cysN","TN93+G+I","TN93_G"
"38284_hypothetical_protein","T92+G","T92_G"
"38368_rseA","T92+G","T92_G"
"38369_rseB","TN93+G+I","TN93_G"
"38376_pdxJ","TN93+G+I","TN93_G"
"38455_lptA","TN93+G","TN93_G"
"38497_truB","T92+G+I","T92_G"
"38512_pyrI","TN93+I","TN93"
"38578_rplP","K2+G","K2_G"
"38626_pepQ","TN93+G+I","TN93_G"
"38657_xerC","T92+G+I","T92_G"
"38658_hypothetical_protein","TN93+G","TN93_G"
"38662_cyaA","TN93+G+I","TN93_G"
"38667_wecG","T92+G+I","T92_G"
"38669_wecF","T92+G+I","T92_G"
"38670_wzxE","TN93+G","TN93_G"
"38680_rep","TN93+G+I","TN93_G"
"38682_yhjJ","T92+G+I","T92_G"
"38686_hypothetical_protein","T92+G","T92_G"
"38787_uup","TN93+G+I","TN93_G"
"38789_ycbX","T92+G+I","T92_G"
"38792_pepN","TN93+G+I","TN93_G"
"38793_pncB","TN93+G+I","TN93_G"
"38799_hypothetical_protein","T92+G+I","T92_G"
"38802_mukF","TN93+G+I","TN93_G"
"38844_hypothetical_protein","T92+G","T92_G"
"38879_proX","TN93+G+I","TN93_G"
"38881_emrA_2","T92+G","T92_G"
"38886_pat","T92+G+I","T92_G"
"38936_ydgA","TN93+G+I","TN93_G"
"38937_tus","T92+G+I","T92_G"
"38956_hypothetical_protein","TN93+G","TN93_G"
"39028_gsiD_1","TN93+G+I","TN93_G"
"39029_gsiC_1","TN93+G+I","TN93_G"
"39107_hypothetical_protein","TN93+G+I","TN93_G"
"39117_ybhA","T92+G","T92_G"
"39126_zitB","T92+G+I","T92_G"
"39133_pal","K2+G","K2_G"
"39134_tolB","T92+G","T92_G"
"39180_lnt","T92+G+I","T92_G"
"39193_rlpA","T92+G+I","T92_G"
"39309_alx","T92+G","T92_G"
"39311_rlmG","T92+G+I","T92_G"
"39364_nadR","T92+G+I","T92_G"
"39375_thrA","TN93+G+I","TN93_G"
"39390_ispH","TN93+G+I","TN93_G"
"39394_folA","T92+G+I","T92_G"
"39448_pdhR","T92+G","T92_G"
"39458_cueO","T92+G+I","T92_G"
"39461_yadH","TN93+G+I","TN93_G"
"39464_hypothetical_protein","T92+G","T92_G"
"39523_purF","TN93+G+I","TN93_G"
"39526_hisQ","TN93+G","TN93_G"
"39541_nuoG","TN93+G+I","TN93_G"
"39547_nuoM","TN93+G","TN93_G"
"39548_nuoN","TN93+G+I","TN93_G"
"39550_blc","T92+G","T92_G"
"39554_hypothetical_protein","T92+G+I","T92_G"
"39565_phoR","TN93+G+I","TN93_G"
"39566_phoB","TN93+G","TN93_G"
"39682_hypothetical_protein","T92+G+I","T92_G"
"39689_hypothetical_protein","T92+G","T92_G"
"39711_lapB","TN93+G+I","TN93_G"
"39745_oppD","T92+G+I","T92_G"
"39768_secD","TN93+G+I","TN93_G"
"39773_ribD","T92+G+I","T92_G"
"39779_ispA","T92+G+I","T92_G"
"39816_mutM","T92+G+I","T92_G"
"39873_trmA","T92+G+I","T92_G"
"39920_kdgR","T92+G+I","T92_G"
"39929_hypothetical_protein","T92+G","T92_G"
"39930_yhhQ","TN93+G","TN93_G"
"39937_ftsE","TN93+G+I","TN93_G"
"39942_lacG","T92+G+I","T92_G"
"39943_ugpC_1","T92+G+I","T92_G"
"39944_ugpQ","T92+G+I","T92_G"
"39946_yhhW_1","T92+G","T92_G"
"39952_glpD","TN93+G+I","TN93_G"
"39955_glpR","T92+G+I","T92_G"
