"Gene","cal_ID","gav_ID","Mean_gene_length","cal_rel","gav_rel","Same_rel_patt","Product"
"37317_astD",1912,1881,1470.6,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Succinylglutamate-semialdehyde dehydrogenase"
"37319_astE",1914,1883,995.4,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"Succinylglutamate desuccinylase"
"37342_pepB",3107,3148,1288.5,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_EA_ET_CF_EC_TP_TS",TRUE,"Aminopeptidase"
"37396_tmcA",3051,3090,1975.8,"PA_PS_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"tRNA(Met) cytidine acetyltransferase"
"37413_cysA",3006,3054,1090.2,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Sulfate/thiosulfate ABC transporter ATP-binding protein"
"37426_ptsI",2999,3047,1728,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Phosphoenolpyruvate-protein phosphotransferase"
"37443_glk",2975,3022,965.4,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Glucokinase"
"37483_spoT",4025,4137,2115.6,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_ET_EA_CF_EC_TS_TP",FALSE,"Bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
"37487_pstC",43,15,962.4,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Phosphate ABC transporter permease"
"37562_panE_1",1119,1137,919.2,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_CF_EC_TS_TP",FALSE,"2-dehydropantoate 2-reductase"
"37781_hypothetical_protein",3806,3917,1627.2,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",TRUE,"Na/Pi cotransporter family protein"
"37820_gltP",3739,3847,1305,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TS_TP",TRUE,"Glutamate/aspartate:proton symporter"
"37829_tsx",3721,3835,866.4,"PA_PS_EA_ET_CF_EC_TS_TP","PS_PA_EA_ET_CF_EC_TS_TP",FALSE,"Nucleoside-specific channel-forming protein"
"37840_frmA",2789,2750,1121.4,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase"
"37870_mscM",3673,3689,3329.7,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"Miniconductance mechanosensitive channel"
"37923_hypothetical_protein",900,908,2451.6,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Unknown*"
"37949_rnhB",934,942,618.6,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Ribonuclease HII"
"37984_gltC_2",3918,4031,885,"PS_PA_ET_EA_CF_EC_TS_TP","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"HTH-type transcriptional activator"
"37996_hsrA_1",9,4163,1406.7,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"DHA2 family efflux MFS transporter permease subunit"
"38059_ygiC",3520,3526,1161,"PS_PA_ET_EA_CF_EC_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",FALSE,"Glutathionylspermidine synthase family protein"
"38077_exbD",3499,3505,423.9,"PA_PS_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"TonB system transport protein"
"38089_yjjV",753,764,783.3,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"Deoxyribonuclease"
"38124_trmB",3451,3443,720,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"tRNA (guanosine(46)-N7)-methyltransferase"
"38143_epd",3415,3419,1026.6,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Erythrose-4-phosphate dehydrogenase"
"38153_zapA",3405,3409,330,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Cell division protein"
"38207_galR",3372,3378,1009.2,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"HTH-type transcriptional regulator"
"38214_aas",3368,3375,2157.6,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase"
"38219_mutH",3362,3370,681.3,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"DNA mismatch repair endonuclease"
"38221_ptsP",3360,3367,2253.3,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Phosphoenolpyruvate--protein phosphotransferase"
"38233_tcdA",3337,3350,807.3,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase"
"38247_rlmD",3313,3328,1313.1,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"23S rRNA (uracil(1939)-C(5))-methyltransferase"
"38249_mazG",3311,3326,791.4,"PS_PA_EA_ET_EC_CF_TS_TP","PA_PS_EA_ET_CF_EC_TS_TP",FALSE,"Nucleoside triphosphate pyrophosphohydrolase"
"38251_pyrG",3310,3325,1638,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_CF_EC_TP_TS",FALSE,"CTP synthase (glutamine hydrolyzing)"
"38252_eno",3309,3324,1298.1,"PA_PS_ET_EA_CF_EC_TP_TS","PA_PS_ET_EA_CF_EC_TP_TS",TRUE,"Phosphopyruvate hydratase"
"38260_cysN",3298,3311,1431,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Sulfate adenylyltransferase subunit"
"38284_hypothetical_protein",959,966,721.5,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Class I SAM-dependent methyltransferase"
"38368_rseA",3144,3185,662.1,"PA_PS_ET_EA_CF_EC_TS_TP","PA_PS_EA_ET_CF_EC_TP_TS",FALSE,"Anti-sigma-E factor"
"38369_rseB",3143,3184,947.4,"PA_PS_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"Sigma-E factor regulatory protein"
"38376_pdxJ",3136,3177,732,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TS_TP",FALSE,"Pyridoxine 5'-phosphate synthase"
"38455_lptA",522,513,551.1,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",TRUE,"Lipopolysaccharide ABC transporter substrate-binding protein"
