"Gene","Model1","ModelCode"
"37436_hypothetical_protein","T92+G+I","T92_G"
"37518_hemH","T92+G+I","T92_G"
"37557_cyoC","T92+G","T92_G"
"37818_hypothetical_protein","TN93+G","TN93_G"
"37944_skp","K2+G","K2_G"
"38000_asnC","T92+G+I","T92_G"
"38004_atpI","K2+G","K2_G"
"38121_mltC","TN93+G+I","TN93_G"
"38144_pgk","TN93+G+I","TN93_G"
"38263_ftsB","K2+G","K2_G"
"38370_rseC","T92+G","T92_G"
"38415_yhdT","T92+G","T92_G"
"38456_lptC","K2+G","K2_G"
"38598_thiK","T92+G+I","T92_G"
"38636_ubiE","TN93+G+I","TN93_G"
"38778_ompA","K2+G","K2_G"
"38929_rsxG","T92+G","T92_G"
"39033_ybeM","T92+G+I","T92_G"
"39095_idi","T92+G","T92_G"
"39115_livF","T92+G","T92_G"
"39401_djlA","T92+G+I","T92_G"
"39463_hypothetical_protein","TN93+G+I","TN93_G"
"39525_argT_5","TN93+G","TN93_G"
"39731_ompW","T92+G","T92_G"
"39938_ftsX","T92+G","T92_G"
"40142_galE","T92+G","T92_G"
"40272_ruvA","T92+G+I","T92_G"
