"Gene","Model1","ModelCode"
"37425_crr","K2+G","K2_G"
"37471_glnG","T92+G+I","T92_G"
"37475_yihX","T92+G+I","T92_G"
"37489_pstB","TN93+G+I","TN93_G"
"37515_hypothetical_protein","T92+G+I","T92_G"
"37788_ubiA","TN93+G+I","TN93_G"
"37796_qorA","T92+G+I","T92_G"
"37885_purA","TN93+G+I","TN93_G"
"37924_mrcB","TN93+G+I","TN93_G"
"37964_gmhB","T92+G","T92_G"
"37986_ilvD","TN93+G+I","TN93_G"
"38007_atpF","K2+G","K2_G"
"38147_argO","T92+G","T92_G"
"38151_serA","TN93+G+I","TN93_G"
"38156_ubiH","T92+G+I","T92_G"
"38231_argA","TN93+G+I","TN93_G"
"38286_dnaQ","T92+G+I","T92_G"
"38361_nadK","TN93+G+I","TN93_G"
"38362_grpE","T92+G","T92_G"
"38416_accC","TN93+G+I","TN93_G"
"38429_tldD","TN93+G+I","TN93_G"
"38435_argR","K2+G+I","K2_G"
"38594_mfd","TN93+G+I","TN93_G"
"38630_tatD","T92+G","T92_G"
"38666_hemY","TN93+G+I","TN93_G"
"38735_rsmJ","T92+G+I","T92_G"
"38880_mprA","K2+G","K2_G"
"38901_hypothetical_protein","T92+G+I","T92_G"
"38954_dld","TN93+G","TN93_G"
"39082_mntR","T92+G+I","T92_G"
"39091_ybiB","T92+G+I","T92_G"
"39109_moaD","T92+G","T92_G"
"39112_moaA","TN93+G+I","TN93_G"
"39299_osmY_2","T92+G","T92_G"
"39370_cobC","T92+G","T92_G"
"39382_dnaK","TN93+G+I","TN93_G"
"39417_mraZ","K2+G","K2_G"
"39418_rsmH","TN93+G+I","TN93_G"
"39437_coaE","T92+G+I","T92_G"
"39504_yfcA","TN93+G","TN93_G"
"39524_ubiX","T92+G+I","T92_G"
"39532_hypothetical_protein","T92+G","T92_G"
"39558_ubiG","T92+G+I","T92_G"
"39717_topA_2","TN93+G+I","TN93_G"
"39747_oppB","TN93+G+I","TN93_G"
"39805_hypothetical_protein","TN93+G+I","TN93_G"
"39832_yibN","K2+G","K2_G"
"39990_hypothetical_protein","K2+G","K2_G"
"39994_ywrO","T92+G+I","T92_G"
"40002_tusC","T92+G","T92_G"
"40014_rcsB","TN93+G","TN93_G"
"40035_rpsP","K2+G","K2_G"
"40047_grxA","K2+G+I","K2_G"
"40128_baeR","T92+G+I","T92_G"
"40156_hisI","T92+G+I","T92_G"
"40294_hypothetical_protein","K2+G","K2_G"
"40327_hypothetical_protein","T92+G","T92_G"
"40377_mdoG","TN93+G+I","TN93_G"
"40395_rpoB","TN93+G+I","TN93_G"
