"Gene","Model1","ModelCode"
"37332_suhB","TN93+G+I","TN93_G"
"37351_hypothetical_protein","TN93+G+I","TN93_G"
"37398_hypothetical_protein","K2+G","K2_G"
"37411_cysT","TN93+G","TN93_G"
"37438_gltX","TN93+G+I","TN93_G"
"37467_engB","T92+G+I","T92_G"
"37479_hypothetical_protein","T92+G+I","T92_G"
"37488_pstA","TN93+G+I","TN93_G"
"37509_purE","T92+G","T92_G"
"37528_acrA","TN93+G+I","TN93_G"
"37561_hypothetical_protein","K2+G+I","K2_G"
"37872_rsgA","TN93+G+I","TN93_G"
"37893_rpsR","K2+G","K2_G"
"37906_hypothetical_protein","TN93+I","TN93"
"37939_dxr","T92+G+I","T92_G"
"37951_accA","TN93+G+I","TN93_G"
"37990_comM","T92+G+I","T92_G"
"38064_cpdA_1","T92+G+I","T92_G"
"38090_deoC","TN93+G","TN93_G"
"38093_deoD","TN93+G+I","TN93_G"
"38132_yqgF","T92+G+I","T92_G"
"38166_gcvH","T92+G+I","T92_G"
"38216_tas_1","TN93+G+I","TN93_G"
"38374_era","TN93+G+I","TN93_G"
"38377_acpS","T92+G+I","T92_G"
"38411_fis","K2+G","K2_G"
"38424_mreC","T92+G","T92_G"
"38432_aaeA","TN93+G+I","TN93_G"
"38471_obg","TN93+G+I","TN93_G"
"38486_greA","TN93+G","TN93_G"
"38527_holC","T92+G","T92_G"
"38597_nagZ","T92+G+I","T92_G"
"38620_hypothetical_protein","T92+G","T92_G"
"38625_yigZ","T92+G+I","T92_G"
"38668_wzyE","TN93+G+I","TN93_G"
"38693_glyS","TN93+G+I","TN93_G"
"38733_uspB","TN93+G","TN93_G"
"38756_efeN","T92+G","T92_G"
"38759_pgsA","TN93+G+I","TN93_G"
"38829_rluD","TN93+G+I","TN93_G"
"38830_bamD","K2+G","K2_G"
"38840_proA","TN93+G+I","TN93_G"
"38857_ybdL_2","T92+G+I","T92_G"
"38887_pssA","TN93+G+I","TN93_G"
"38893_thrS","TN93+G+I","TN93_G"
"38960_basR","T92+G","T92_G"
"38971_fhuC_2","T92+G","T92_G"
"39089_dps","K2+G+I","K2_G"
"39118_acrZ","K2+I","K2"
"39168_glnS","TN93+G+I","TN93_G"
"39195_hypothetical_protein","K2+G","K2_G"
"39305_yqjD","K2+G","K2_G"
"39386_ribF","T92+G","T92_G"
"39388_lspA","TN93+G+I","TN93_G"
"39405_yabI","TN93+G","TN93_G"
"39407_hypothetical_protein","TN93+G+I","TN93_G"
"39409_setA","TN93+G+I","TN93_G"
"39454_hypothetical_protein","T92+G","T92_G"
"39515_usg","T92+G+I","T92_G"
"39522_cvpA","K2+G","K2_G"
"39530_pta","TN93+G+I","TN93_G"
"39556_nrdB","TN93+G+I","TN93_G"
"39655_ygjP","T92+G","T92_G"
"39705_rnb","TN93+G+I","TN93_G"
"39712_lapA","K2+G","K2_G"
"39723_yciV","T92+G+I","T92_G"
"39843_sbp","TN93+G+I","TN93_G"
"39845_tpiA","TN93+G","TN93_G"
"39851_zapB","K2+G","K2_G"
"39857_priA","TN93+G+I","TN93_G"
"39860_metB","TN93+G","TN93_G"
"39863_argE_2","TN93+G+I","TN93_G"
"39904_recF","TN93+G+I","TN93_G"
"39913_hypothetical_protein","T92+G+I","T92_G"
"39918_tkrA","T92+G+I","T92_G"
"39956_nfuA","T92+G","T92_G"
"39993_yheS","TN93+G+I","TN93_G"
"39998_slyX","K2+G","K2_G"
"40041_csrA","K2+G","K2_G"
"40055_artP","TN93+G+I","TN93_G"
"40094_hypothetical_protein","K2+G","K2_G"
"40158_hisA","T92+G","T92_G"
"40269_nudB","T92+I","T92"
"40290_msrC","T92+G+I","T92_G"
"40304_dinG_1","TN93+G+I","TN93_G"
"40305_tsaB","T92+G+I","T92_G"
"40311_ycgL","K2+G+I","K2_G"
"40328_ansA","TN93+G+I","TN93_G"
